# VI-Cousins CCD observations
#  No    Ref    V       V-I
 0652   213  15.594   1.175
 0652   298  15.668   1.189
 0652   299  15.685   1.196
 0654   213  15.261   1.112
 0654   298  15.272   1.157
 0654   299  15.306   1.153
 0655   213  15.244   1.133
 0655   298  15.197   1.133
 0656   213  16.926   2.006
 0657   213  17.785   2.766
 0658   213  17.175   1.807
 0659   213  19.151   2.733
 0660   213  14.651   1.068
 0661   213  19.495   2.735
 0662   213  15.920   1.471
 0663   213  17.845   2.507
 0664   213  18.223   2.766
 0665   213  18.840   2.713
 0666   213  16.403   1.662
 0667   213  20.463   2.949
 0668   213  16.550   1.943
 0669   213  19.857   2.877
 0670   213  15.258   1.221
 0671   213  14.088   1.009
 0672   213  20.575   2.846
 0673   213  21.040   3.233
 0674   213  19.864   2.806
 0675   213  14.972   1.163
 0676   213  17.239   2.019
 0677   213  20.568   2.992
 0678   213  18.331   2.171
 0679   213  13.321   0.793
 0680   213  19.717   2.792
 0681   213  19.069   3.114
 0682   213  18.215   2.228
 0683   213  20.576   2.975
 0684   213  17.342   2.007
 0685   213  21.126   3.225
 0686   213  14.330   1.133
 0687   213  19.634   2.581
 0688   213  19.394   2.682
 0689   213  19.183   3.367
 0690   213  19.009   2.417
 0691   213  19.440   2.670
 0692   213  20.233   3.096
 0693   213  20.764   3.276
 0694   213  18.581   2.541
 0695   213  15.837   1.437
 0696   213  15.265   1.212
 0697   213  19.824   2.952
 0698   213  19.065   2.489
 0699   213  15.463   1.153
 0700   213  15.133   0.997
 0701   213  16.532   1.534
 0702   213  16.634   1.531
 1209   298  13.806   0.921
 1209   299  13.787   0.937
 1214   298  14.276   0.823
 1214   299  14.285   0.850
 1215   298  12.682   0.750
 1215   299  12.648   0.772
 1219   298  12.632   0.699
 1219   299  12.622   0.715
 1223   298  14.315   0.688
 1223   299  14.489   0.627
 1225   298  12.977   1.472
 1225   299  12.955   1.462
 1226   298  13.081   0.771
 1226   299  13.077   0.775
 1227   298  11.195   0.446
 1227   299  11.168   0.461
 1230   298  12.792   0.704
 1230   299  12.795   0.729
 1233   298  12.240   0.769
 1233   299  12.265   0.805
 1234   298  13.661   0.987
 1234   299  13.767   0.983
 1235   298  12.287   1.240
 1235   299  12.220   1.229
 1236   298  14.138   0.767
 1236   299  14.144   0.785
 1237   298  11.111   0.400
 1237   299  11.062   0.416
 1238   298  12.105   0.590
 1238   299  12.027   0.703
 1239   298  13.605   0.675
 1239   299  13.628   0.674
 1240   298  13.010   0.730
 1240   299  13.011   0.737
 1244   298  12.913   1.220
 1244   299  12.890   1.210
 1245   298  13.541   0.853
 1245   299  13.571   0.861
 1246   298  12.078   0.699
 1246   299  12.418   0.531
 1247   298  12.699   1.174
 1247   299  12.691   1.170
 1248   298  12.767   2.033
 1248   299  12.843   2.047
 1249   298  12.500   0.980
 1249   299  12.664   1.123
 1250   298  13.840   0.729
 1250   299  14.111   0.750
 1251   298  13.495   0.776
 1252   298  13.400   0.673
 1252   299  13.417   0.678
 1253   298  13.026   0.701
 1253   299  13.026   0.707
 1254   298  13.375   1.072
 1254   299  13.395   1.076
 1255   298  12.689   0.742
 1255   299  12.694   0.749
 1256   298  12.384   1.107
 1256   299  12.361   1.091
 1257   298  13.716   0.767
 1257   299  13.702   0.771
 1258   298  10.939   0.391
 1258   299  10.882   0.386
 1259   298  11.329   0.725
 1259   299  11.276   0.734
 1261   298  13.347   1.278
 1261   299  13.339   0.917
 1262   298  10.692   0.288
 1262   299  10.655   0.295
 1263   298  12.356   1.204
 1263   299  12.346   1.239
 1264   298  12.280   0.650
 1264   299  12.271   0.678
 1265   298  12.961   0.781
 1266   298  10.294   0.307
 1267   298  10.285   0.169
 1268   298  14.008   0.695
 1269   298  13.441   0.543
 1270   298  14.256   0.703
 1271   298  12.210   0.218
 1273   298  12.013   1.216
 1274   298  12.862   0.752
 1275   298  12.995   0.760
 1276   298  10.142   0.198
 1276   299  10.104   0.199
 1277   298  13.806   0.580
 1277   299  14.029   0.696
 1278   298  13.414   0.674
 1280   298  13.825   1.151
 1280   299  13.853   1.185
 1281   298  12.284   1.498
 1282   298  12.340   1.442
 1283   298  12.258   1.101
 1284   298   9.142   1.706
 1311   298  12.437   0.718
 1311   299  12.443   0.725
 1313   198  13.290   0.830
 1313   298  13.289   0.843
 1313   299  13.320   0.865
 1317   298  10.913   0.619
 1317   299  10.910   0.638
 1318   298  12.325   0.463
 1319   298  12.273   1.864
 1319   299  12.232   1.842
 1320   198  12.930   0.810
 1320   298  12.878   0.818
 1320   299  12.873   0.791
 1321   298  10.622   0.287
 1321   299  10.591   0.317
 1322   298  12.063   0.720
 1322   299  11.978   0.667
 1323   298  12.503   0.701
 1323   299  12.492   0.709
 1324   298  12.010   0.667
 1324   299  11.980   0.648
 1325   198  13.080   0.760
 1325   298  13.020   0.762
 1325   299  13.047   0.779
 1326   298  10.207   0.188
 1326   299  10.110   0.216
 1327   298  11.318   0.481
 1327   299  11.278   0.501
 1328   299  13.050   0.937
 1329   298  12.836   0.865
 1329   299  12.844   0.828
 1330   298  12.481   0.741
 1331   298  13.330   0.836
 1332   298  12.586   1.290
 1333   298  10.011   0.615
 1336   298  12.603   0.743
 1337   298  14.176   1.068
 1339   298  13.386   0.732
 1340   298  12.239   0.826
 1341   298  11.692   0.107
 1343   298  13.707   0.747
 1344   298  13.312   0.957
 1345   298  12.805   0.825
 1346   298  11.920   0.739
 1347   298  12.072   0.763
 1350   298  11.585   0.615
 1351   298  13.896   0.767
 1352   298  14.570   0.776
 1353   298  14.267   0.869
 1354   198  13.480   0.740
 1354   298  13.447   0.772
 1354   299  13.479   0.746
 1355   298  14.530   0.743
 1355   299  14.569   0.732
 1356   298  13.968   0.769
 1357   298  13.421   1.187
 1358   298  13.961   0.781
 1359   298  13.986   0.704
 1360   298  14.116   0.634
 1361   298  14.188   0.774
 1361   299  14.262   0.753
 1362   298  13.306   1.353
 1362   299  13.305   1.309
 1363   298  13.910   0.750
 1363   299  13.916   0.772
 1364   298  14.149   0.785
 1364   299  14.151   0.803
 1403   298  12.905   0.876
 1403   299  12.869   0.881
 1415   198  12.970   0.790
 1415   298  12.954   0.800
 1415   299  12.953   0.805
 1417   298  12.053   0.619
 1417   299  12.029   0.649
 1418   298  12.824   1.118
 1418   299  12.812   1.099
 1419   298  11.066   0.617
 1419   299  11.013   0.637
