# VI-Cousins CCD observations
#  No    Ref    V       V-I
 4068   298  16.249   1.894
 4069   298  17.622   2.109
 4070   298  19.495   2.847
 4071   298  15.608   1.368
 4072   298  14.988   1.234
 4073   298  19.396   2.660
 4074   298  13.480   0.884
 4075   298  19.041   2.655
 4075   498  19.140   2.650
 4076   298  10.338   0.424
 4077   298  17.716   2.388
 4078   298  18.181   2.489
 4079   498  18.990   2.640
 4080   498  21.250   3.200
 4081   498  17.800   2.260
 4082   498  18.480   2.490
 4083   498  17.670   2.180
 4084   498  15.740   1.210
 4085   498  19.970   2.980
 4086   498  21.320   3.280
 4087   498  19.610   2.840
 4088   498  16.950   1.980
 4089   498  20.300   2.980
 4090   498  17.130   2.100
 4091   498  19.850   2.810
 4092   498  19.360   2.720
 4093   498  18.490   2.530
 4094   498  17.290   2.020
 4095   498  18.680   2.520
 4096   498  19.180   2.600
 4097   498  20.760   3.020
 4098   498  21.740   3.280
 4099   498  17.510   2.100
 4100   498  21.650   3.350
 4101   498  20.700   3.080
 4102   498  20.740   3.080
 4103   498  20.880   3.120
 4104   498  18.960   2.590
 4105   498  21.390   3.290
 4106   498  17.360   2.290
 4107   498  20.710   3.130
 4108   498  20.180   2.980
 4109   498  21.500   3.500
 4110   498  20.850   3.120
 4111   498  20.950   3.210
 4112   498  20.980   3.140
 4113   498  21.110   3.310
 4115   498  17.700   2.160
 4116   498  17.820   2.280
 4117   498  19.350   2.720
 4118   498  19.660   2.850
 4119   498  21.670   3.330
 4120   498  17.410   2.050
 4121   498  17.250   2.110
 4122   498  20.180   3.040
 4123   498  20.800   3.300
 4124   498  19.040   2.640
 4125   498  17.970   2.160
 4126   498  18.380   2.420
 4127   498  20.350   3.020
 4128   498  16.310   1.820
 4129   498  17.450   2.110
 4130   498  21.060   3.180
 4131   498  20.760   3.140
 4132   498  18.400   2.440
 4133   498  18.920   2.600
 4134   498  20.740   3.120
 4135   498  20.020   2.970
 4136   498  18.900   2.590
 4137   498  18.980   2.770
 4138   498  17.560   2.300
 4139   498  20.050   2.970
 4140   498  20.760   3.220
 4141   498  21.320   3.210
 4142   498  21.450   3.330
 4143   498  20.020   2.940
 4144   498  20.540   2.970
 4145   498  16.880   1.790
 4146   498  20.020   2.960
 4147   498  21.770   3.350
 4148   498  20.500   3.160
 4149   498  18.020   2.390
 4150   498  20.250   3.020
 4151   498  21.420   3.160
 4152   498  19.170   2.640
 4153   498  20.620   3.150
 4154   498  21.100   3.370
 4155   498  20.250   3.130
 4156   498  20.020   3.100
 4157   498  20.220   3.160
 4158   498  21.010   3.360
 4159   498  20.730   3.110
 4160   498  18.960   2.680
 4161   498  21.050   3.220
 4162   498  20.160   3.010
 4163   498  21.510   3.390
 4164   498  21.170   3.210
 4165   498  21.080   3.360
 4166   498  22.470   3.690
 4167   498  22.470   3.550
 4168   498  21.540   3.370
 4169   498  20.670   3.080
 4170   498  20.980   3.120
 4171   498  20.640   3.200
 4172   498  18.810   2.690
 4173   498  20.580   3.230
 4174   498  20.370   3.030
 4175   498  18.490   2.470
 4176   498  20.900   3.160
 4177   498  20.650   3.010
 4178   498  21.710   3.340
 4179   498  20.910   3.050
 4180   498  21.030   3.200
 4181   498  20.000   2.880
 4182   498  20.600   3.270
 4183   498  19.430   2.740
 4184   498  20.540   3.110
 4185   498  21.400   3.270
 4186   498  20.370   3.260
 4187   498  17.850   2.230
 4188   498  20.810   3.030
 4189   498  20.900   3.040
 4190   498  20.610   3.050
 4191   498  19.340   2.740
 4192   498  20.000   3.440
 4193   498  19.890   2.920
 4194   498  19.050   2.820
 4195   498  19.040   2.920
 4196   498  20.230   3.040
 4197   498  17.850   2.220
 4198   498  20.850   3.210
 4199   498  20.740   3.080
 4200   498  17.430   2.320
 4201   498  20.360   2.920
 4202   498  17.310   2.050
 4203   498  16.680   1.860
 4204   498  17.680   2.100
 4205   498  17.310   2.050
 4206   498  19.760   2.840
 4207   498  18.730   2.690
 4208   498  21.360   3.130
 4209   498  20.230   2.980
 4210   498  18.410   2.680
 4211   498  19.330   2.960
 4212   498  18.350   2.350
 4213   498  21.370   3.140
 4214   498  21.440   3.280
 4215   498  19.600   2.980
 4216   498  17.100   1.840
 4217   498  19.140   2.630
 4218   498  19.820   2.810
 4219   498  18.350   2.350
 4220   498  20.280   2.940
 4221   498  20.180   2.930
 4222   498  17.150   1.950
 4223   498  20.710   3.070
 4224   498  19.290   2.670
 4225   498  20.030   2.930
 4226   498  16.540   1.670
 4227   498  21.030   3.210
 4228   498  16.730   1.780
 4229   498  20.760   3.090
 4230   498  18.900   2.640
 4231   498  20.380   3.230
 4232   498  17.280   2.010
 4233   498  18.790   2.560
 4234   498  19.420   3.280
 4235   498  18.090   2.570
 4236   498  19.500   2.760
 4237   498  16.980   2.300
 4238   498  18.580   2.700
 4239   498  19.140   2.930
 4240   498  20.980   3.140
 4241   498  20.250   2.950
 4242   498  19.410   2.850
 4243   498  18.560   2.830
 4244   498  19.530   2.850
 4245   498  21.230   3.230
 4246   498  21.400   3.290
 4247   498  20.620   3.100
 4248   498  19.630   2.750
 4249   498  17.350   2.050
 4250   498  20.020   2.900
 4251   498  17.750   2.150
 4252   498  18.260   2.400
 4253   498  20.930   3.160
 4254   498  22.870   3.750
 4255   498  20.060   3.100
 4256   498  18.020   2.330
 4257   498  19.600   3.210
 4258   498  17.650   2.150
 4259   498  17.750   2.220
 4260   498  16.450   1.630
 4261   498  21.980   3.500
 4262   498  17.920   2.490
 4263   498  20.870   3.070
 4264   498  19.920   3.060
 4265   498  18.620   2.550
 4266   498  18.060   2.280
 4267   498  19.200   2.790
 4268   498  19.230   2.720
 4269   498  20.840   3.180
 4270   498  18.450   2.450
 4271   498  18.850   2.630
 4272   498  21.180   3.200
 4273   498  20.180   2.950
 4274   498  19.980   2.890
 4275   498  20.750   3.140
 4276   498  20.950   3.210
 4277   498  18.230   2.490
 4278   498  20.600   3.120
 4279   498  20.860   3.260
 4280   498  19.140   2.740
 4281   498  21.000   3.350
 4282   498  16.590   1.570
 4283   498  21.340   3.230
 4284   498  20.720   3.110
 4285   498  21.050   3.280
 4286   498  18.010   2.350
 4287   498  19.800   2.800
 4288   498  18.590   2.500
 4289   498  18.170   2.360
 4290   498  19.040   2.830
 4291   498  18.640   2.550
 4292   498  20.070   3.040
 4293   498  17.840   2.090
 4294   498  21.290   3.270
 4295   498  18.190   2.390
 4296   498  20.300   3.290
 4297   498  18.810   2.640
